text,language
Out of sorts,English
Up a gum tree,English
Stand and deliver,English
Al die suksesse in die wêreld is gebaseer op toewyding en ‘n goeie wil.,Afrikaans
Bring home the bacon,English
Never knowingly undersold,English
Jy beny my blink skoene omdat jy nie weet van die liddorings wat binne pyn nie.,Afrikaans
Body surfing,English
,Nederlands
A picture is worth a thousand words,English
Pour oil on troubled waters,English
Valentine's Day Poems and Sayings,English
Aid and abet,English
(The pen is) mightier than the sword,English
Once in a blue moon,English
Game is afoot - The,English
"Dis nie welvaart en swier wat geluk bring nie, maar kalmte en werk.",Afrikaans
To beggar belief,English
Trip the light fantastic,English
A1 at Lloyds,English
The hairy eyeball,English
"Behandel die vreemdeling goed, maar wees versigtig om hom die kans te gee om jou te behandel.",Afrikaans
Hell in a handbasket,English
Sien jou in ‘n dik ruk.,Afrikaans
"Julle kan dink en praat soos julle voel en oortuig is. Ek sal dit respekteer MAAR, moenie die houding van AAG-G WAT-T, aankweek nie.",Afrikaans
Murphy's Law,English
What part of no don't you understand?,English
Touch and go,English
Spin jy jou driewiel .,Afrikaans
Booby trap,English
Born within the sound of Bow Bells,English
So bang soos ‘n bok vir ‘n skoot hael.,Afrikaans
Heavens to Betsy,English
Don't throw the baby out with the bathwater,English
Make your hair stand on end,English
Hy gaan met aasdieromslagtigheid te werk.,Afrikaans
‘n Gebraaide hoender vlieg niemand in die mond nie.,Afrikaans
Crackpot,English
,Nederlands
"Waar aas is, vergader die arende.",Afrikaans
"Die spul daar op Bergplaas sit dassie, daar word nie geploeg nie.",Afrikaans
Off with his head,English
,Nederlands
Giddy aunt,English
Hedge your bets,English
"Waar jy nie self by is nie, word jou gesig nie gewas nie.",Afrikaans
Daar is 2 soorte werksmense: Een werk vir sy loon – die ander word beloon vir sy werk.,Afrikaans
Behind every great man there's a great woman,English
Rome is nie in een dag gebou nie so gaan jou gang rustig - hoe meer haas hoe minder spoed.,Afrikaans
Sy bont varkie is weg.,Afrikaans
,English
Great minds think alike,English
Down in the dumps,English
Die boog kan nie altyd gespan wees nie.,Afrikaans
Die verhouding tussen Hoofman en Werknemeres is soos dié tussen die wind en die gras. Die gras moet buig as die wind daaroor waai.,Afrikaans
All at sea,English
Bokwagter word.,Afrikaans
Point-blank,English
The darkest hour is just before the dawn,English
,Afrikaans
"Ontwyk die uitvraer, want hy is ook ‘n verklapper.",Afrikaans
Bird in the hand is worth two in the bush - A,English
Life begins at forty,English
Don't try to teach your Grandma to suck eggs,English
An ill wind,English
So arm soos ‘n kerkmuis.,Afrikaans
Daai Jors kan vir jou lank ploeg!,Afrikaans
Forbidden fruit,English
Moenie jou pêrels voor die swyne werp nie.,Afrikaans
Lardy-dardy,English
Dit is nooit my eie dood waaroor ek spekuleer nie.,Afrikaans
Keep it under your hat,English
Christmas card verses,English
Like the Dickens,English
"Neither fish nor flesh, nor good red herring",English
"If music be the food of love, play on",English
"Die beste een vinnigste manier om ander mens te waarder, is om te probeer om hulle werk te doen.",Afrikaans
Taken aback,English
"Blood, sweat and tears",English
Go out on a limb,English
Nod - The land of,English
Toast of the town,English
Beat around the bush,English
,Nederlands
Hard man is good to find - A,English
The Devil take the hindmost,English
Die swaarste ding om te dra is ‘n wrok.,Afrikaans
Let or hindrance,English
‘n Aap op jou rug hê.,Afrikaans
Never look a gift horse in the mouth,English
Sound bite,English
"Ring a ring o'roses, a pocketful of posies, atishoo, atishoo, all fall down",English
As brown as a berry,English
Hy lyk soos Sondagkos.,Afrikaans
What God has joined together let no man put asunder,English
Middle for diddle,English
Black as Newgate's knocker,English
Living on borrowed time,English
Daar is net ‘n trekseltjie koffie oor in die pot.,Afrikaans
For crying out loud,English
The ends of the earth,English
"Don't call us, we'll call you",English
Lark about,English
Turn up trumps,English
,Afrikaans
Riley - the life of,English
Has the cat got your tongue?,English
On the QT,English
As mad as a March hare,English
Pipe down,English
Eat my hat,English
Lose face,English
Have an axe to grind,English
I told you is was ill,English
You get on my wick,English
Die beeste het in die brand geloop.,Afrikaans
Jors is hier weg met die aanslag van die dag.,Afrikaans
Blind leading the blind - The,English
Dieselfde water draai die verstandige man se meule wat die dwaas se grond verspoel.,Afrikaans
Weakest link - A chain is only as strong as its,English
,Nederlands
Hy laat lê nie kos nie.,Afrikaans
Double cross,English
Gloom and doom,English
Make hay while the sun shines,English
"Wanneer ‘n man en vrou hul huwelik begin bespreek, lê hulle getuienis af by ‘n geregtelike ondersoek.",Afrikaans
Down at heel,English
Vorsprung Durch Technik,English
Put a damper on,English
Pass over to the other side,English
Clue - don't have a,English
Wee-wee,English
Die halter afhaal.,Afrikaans
Shilly-shally,English
I spy with my little eye,English
Up the pole,English
Paddle your own canoe,English
Gordon Bennett,English
Iemand dwarsdeur kyk.,Afrikaans
Geleentheid maak die dief.,Afrikaans
Zig-zag,English
By your leave,English
Fingers and thumbs,English
Nest of vipers - A,English
Stinking rich,English
You look as if you've been dragged through a hedge backwards,English
Good measure - For,English
Bite the dust,English
Beggar belief,English
Big wig,English
La-la land,English
Like a chicken with its head cut off,English
Ek gaan bietjie by haar afsaal.,Afrikaans
Go postal,English
High and mighty,English
Die geheim om te verveel is om alles te vertel.,Afrikaans
“Help vir Henna en troos vir Koos.”,Afrikaans
The pot calling the kettle black,English
Hot on the heels,English
Teenspoed is deel van die lewe.,Afrikaans
Ups-a-daisy,English
Prime time,English
Wees dankbaar as jou kinders dik snye brood vra – meel is goedkoper as medisyne.,Afrikaans
Ps and Qs - Mind your,English
Indian giver,English
"Tussen die bye, maar nog nie by die koekie nie.",Afrikaans
Mend fences,English
Die sweep swiep deur die lug.,Afrikaans
The triumph of hope over experience,English
Big Easy - The,English
Knee-jerk reaction,English
Iemand afpoeier.,Afrikaans
Might and main,English
Hugger-mugger,English
Cheap at half the price,English
A pig in a poke,English
A priori,English
Driving while black,English
Rough diamond,English
Sir Walter Scott (phrases coined by),English
It ain't over till the fat lady sings,English
Best bib and tucker,English
Moenie al jou geld op een perd sit nie.,Afrikaans
Your money or your life,English
The powers that be,English
’n Dronk man val nie ver van die bar nie.,Afrikaans
Power dressing,English
Laat ek vir jou vertel wat vis innie Kaap kos.,Afrikaans
Life's too short,English
"Toe ek begin werk het, wou ek ‘n groot klomp geld gou maak. Later wou ek’n groot klomp geld maak terwyl ek dit geniet, maar later sien ek wat jy werklik wil hê, is om ‘n klein verskil te maak. As jy dit kan doen, kom ander dinge vanself en kan jy dit terdeë geniet.",Afrikaans
No truck with,English
Codswallop - a load of,English
"Toe maar, môre bak ma koekies.",Afrikaans
A diamond in the rough,English
Rabbit and pork,English
Kleine potjes hebben grote oren.,Nederlands
Whole kit and caboodle - The,English
Beyond belief,English
Square meal,English
Een hoofd vol kreuken – een geweten sonder rimpel.,Afrikaans
The exception which proves the rule,English
Gooi weg die blink horlosies – werk van son-op tot son-onder EN die plaas is JOU Baas – nie jy nie.,Afrikaans
Bitter in die mond maak die hart gesond.,Afrikaans
"Sy is so klein, sy verdwaal in ‘n telefoonhokkie.",Afrikaans
Under the thumb,English
Johann Nell: “Dit is baie beter om te huil in ‘n luukse BMW as op ‘n tweewielfiets en dit is nog beter om jou trane te laat val van ‘n drieverdieping mansion as wat dit op jou kaia se grondvloer val.”,Afrikaans
Swing for you,English
